SKU,UPC,Price,BaseCustomPrice
CC-MABB32-FB,"","15.0000","15.0000"
CC-MABB32-FB,"","18.0000","18.0000"
CC-MAMGBB02-FB,"","15.0000","15.0000"
CC-MAMGBB02-FB,"","18.0000","18.0000"
CC-MASB78-FB,"","15.0000","15.0000"
CC-MASB78-FB,"","18.0000","18.0000"
CC-MASB81-FB,"","15.0000","15.0000"
CC-MASB81-FB,"","18.0000","18.0000"
CC-ROM-CAS,"799665813666","0.0000","0.0000"
CC-ROM-CAS,"799665813666","0.0000","0.0000"
CC-ROM-FSL,"799665813949","0.0000","0.0000"
CC-ROM-FSL,"799665813949","0.0000","0.0000"
CC-ROM-RLX,"799418019963","0.0000","0.0000"
CC-ROM-RLX,"799418019963","0.0000","0.0000"
CC-ROM-SFL,"799665813802","0.0000","0.0000"
CC-ROM-SFL,"799665813802","0.0000","0.0000"
CC-SB73-FB,"","18.0000","18.0000"
CC-TEALBB29-108,"799418022598","109.0000","109.0000"
CC-TEALBB29-120,"799418022604","119.0000","119.0000"
CC-TEALBB29-84,"799418022574","89.0000","89.0000"
CC-TEALBB29-96,"799418022581","99.0000","99.0000"
CC-TEALBB29-FB,"799418022635","15.0000","15.0000"
CC-TEALBB29-FB,"799418022635","18.0000","18.0000"
CRC-MYTH04-108,"799418018089","184.0000","184.0000"
CRC-MYTH04-120,"799418018096","194.0000","194.0000"
CRC-MYTH04-84,"799418018065","159.0000","159.0000"
CRC-MYTH04-96,"799418018072","174.0000","174.0000"
CRC-MYTH14-108,"799418018157","164.0000","164.0000"
CRC-MYTH14-120,"799418018164","174.0000","174.0000"
CRC-MYTH14-84,"799418018133","139.0000","139.0000"
CRC-MYTH14-96,"799418018140","154.0000","154.0000"
CRC-MYTH72-108,"799418017945","184.0000","184.0000"
CRC-MYTH72-120,"799418017952","194.0000","194.0000"
CRC-MYTH72-84,"799418017921","159.0000","159.0000"
CRC-MYTH72-96,"799418017938","174.0000","174.0000"
CRC-MYTH73-108,"799418018010","184.0000","184.0000"
CRC-MYTH73-120,"799418018027","194.0000","194.0000"
CRC-MYTH73-84,"799418017990","159.0000","159.0000"
CRC-MYTH73-96,"799418018003","174.0000","174.0000"
CRC-MYTH79-108,"799418017877","164.0000","164.0000"
CRC-MYTH79-120,"799418017884","174.0000","174.0000"
CRC-MYTH79-84,"799418017853","139.0000","139.0000"
CRC-MYTH79-96,"799418017860","154.0000","154.0000"
CRC-MYTH809-108,"799418018225","164.0000","164.0000"
CRC-MYTH809-120,"799418018232","174.0000","174.0000"
CRC-MYTH809-84,"799418018201","139.0000","139.0000"
CRC-MYTH809-96,"799418018218","154.0000","154.0000"
CZCH-CTZ1-108,"610395221418","59.0000","59.0000"
CZCH-CTZ1-120,"610395221425","69.0000","69.0000"
CZCH-CTZ1-84,"610395221395","39.0000","39.0000"
CZCH-CTZ1-96,"610395221401","49.0000","49.0000"
CZCH-CTZ12-108,"610395220930","59.0000","59.0000"
CZCH-CTZ12-120,"610395220947","69.0000","69.0000"
CZCH-CTZ12-84,"610395220916","39.0000","39.0000"
CZCH-CTZ12-96,"610395220923","49.0000","49.0000"
CZCH-CTZ2-108,"610395221814","59.0000","59.0000"
CZCH-CTZ2-120,"610395221821","69.0000","69.0000"
CZCH-CTZ2-84,"610395221791","39.0000","39.0000"
CZCH-CTZ2-96,"610395221807","49.0000","49.0000"
CZCH-CTZ5-108,"610395221012","59.0000","59.0000"
CZCH-CTZ5-120,"610395221029","69.0000","69.0000"
CZCH-CTZ5-84,"610395220992","39.0000","39.0000"
CZCH-CTZ5-96,"610395221005","49.0000","49.0000"
CZCH-CTZ6-108,"610395221739","59.0000","59.0000"
CZCH-CTZ6-120,"610395221746","69.0000","69.0000"
CZCH-CTZ6-84,"610395221715","39.0000","39.0000"
CZCH-CTZ6-96,"610395221722","49.0000","49.0000"
CZCH-CTZ9-108,"610395221494","59.0000","59.0000"
CZCH-CTZ9-120,"610395221500","69.0000","69.0000"
CZCH-CTZ9-84,"610395221470","39.0000","39.0000"
CZCH-CTZ9-96,"610395221487","49.0000","49.0000"
DIS-ID1-108,"797734450477","189.0000","189.0000"
DIS-ID1-120,"797734450484","204.0000","204.0000"
DIS-ID1-84,"797734450453","169.0000","169.0000"
DIS-ID1-96,"797734450460","179.0000","179.0000"
DIS-ID1-FB,"799665818944","40.0000","40.0000"
DIS-ID112-108,"797734450279","189.0000","189.0000"
DIS-ID112-120,"797734450286","204.0000","204.0000"
DIS-ID112-84,"797734450255","169.0000","169.0000"
DIS-ID112-96,"797734450262","179.0000","179.0000"
DIS-ID112-FB,"799665818968","40.0000","40.0000"
DIS-ID124-108,"797734449839","189.0000","189.0000"
DIS-ID124-120,"797734449846","204.0000","204.0000"
DIS-ID124-84,"797734449815","89.0000","169.0000"
DIS-ID124-96,"797734449822","179.0000","179.0000"
DIS-ID124-FB,"799665818982","40.0000","40.0000"
DIS-ID15-108,"797734449754","189.0000","189.0000"
DIS-ID15-120,"797734449761","204.0000","204.0000"
DIS-ID15-84,"797734449730","169.0000","169.0000"
DIS-ID15-96,"797734449747","179.0000","179.0000"
DIS-ID15-FB,"799665819002","40.0000","40.0000"
DIS-ID20-108,"610395223283","189.0000","189.0000"
DIS-ID20-120,"610395223290","204.0000","204.0000"
DIS-ID20-84,"610395223269","169.0000","169.0000"
DIS-ID20-96,"610395223276","179.0000","179.0000"
DIS-ID20-FB,"799665819026","40.0000","40.0000"
DIS-ID221-108,"797734449914","189.0000","189.0000"
DIS-ID221-120,"797734449921","204.0000","204.0000"
DIS-ID221-84,"797734449891","169.0000","169.0000"
DIS-ID221-96,"797734449907","179.0000","179.0000"
DIS-ID221-FB,"799665819040","40.0000","40.0000"
DIS-ID224-108,"797734449792","189.0000","189.0000"
DIS-ID224-120,"797734449808","204.0000","204.0000"
DIS-ID224-84,"797734449778","169.0000","169.0000"
DIS-ID224-96,"797734449785","179.0000","179.0000"
DIS-ID224-FB,"799418021348","40.0000","40.0000"
DIS-ID37-108,"797734450071","189.0000","189.0000"
DIS-ID37-120,"797734450088","204.0000","204.0000"
DIS-ID37-84,"797734450057","169.0000","169.0000"
DIS-ID37-96,"797734450064","179.0000","179.0000"
DIS-ID37-FB,"799665819088","40.0000","40.0000"
DIS-ID50-108,"797734450354","189.0000","189.0000"
DIS-ID50-120,"797734450361","204.0000","204.0000"
DIS-ID50-84,"797734450330","169.0000","169.0000"
DIS-ID50-96,"797734450347","179.0000","179.0000"
DIS-ID50-FB,"799665819101","40.0000","40.0000"
DIS-ID511-108,"610395233534","189.0000","189.0000"
DIS-ID511-120,"610395233541","204.0000","204.0000"
DIS-ID511-84,"610395233558","169.0000","169.0000"
DIS-ID511-96,"610395233565","179.0000","179.0000"
DIS-ID511-FB,"799665819125","40.0000","40.0000"
DIS-ID68-108,"797734450514","189.0000","189.0000"
DIS-ID68-120,"797734450521","204.0000","204.0000"
DIS-ID68-84,"797734450491","169.0000","169.0000"
DIS-ID68-96,"797734450507","179.0000","179.0000"
DIS-ID68-FB,"799665819149","40.0000","40.0000"
DIS-ID7727-108,"797734449952","189.0000","189.0000"
DIS-ID7727-120,"797734449969","204.0000","204.0000"
DIS-ID7727-84,"797734449938","169.0000","169.0000"
DIS-ID7727-96,"797734449945","179.0000","179.0000"
DIS-ID7727-FB,"799665819163","40.0000","40.0000"
DIS-ID7806-108,"797734449990","189.0000","189.0000"
DIS-ID7806-120,"797734450002","204.0000","204.0000"
DIS-ID7806-84,"797734449976","169.0000","169.0000"
DIS-ID7806-96,"797734449983","179.0000","179.0000"
DIS-ID7806-FB,"799665819187","40.0000","40.0000"
DIS-ID7906-108,"797734450118","189.0000","189.0000"
DIS-ID7906-120,"797734450125","204.0000","204.0000"
DIS-ID7906-84,"797734450095","169.0000","169.0000"
DIS-ID7906-96,"797734450101","179.0000","179.0000"
DIS-ID7906-FB,"799665819200","40.0000","40.0000"
DIS-ID9-108,"797734450392","189.0000","189.0000"
DIS-ID9-120,"797734450408","204.0000","204.0000"
DIS-ID9-84,"797734450378","169.0000","169.0000"
DIS-ID9-96,"797734450385","179.0000","179.0000"
DIS-ID9-FB,"799665819224","40.0000","40.0000"
DS-ASST100-108,"799665817640","259.0000","259.0000"
DS-ASST100-120,"799665817633","269.0000","269.0000"
DS-ASST100-84,"799665817619","229.0000","229.0000"
DS-ASST100-96,"799665817626","249.0000","249.0000"
DS-ASST100-FB,"799665817664","60.0000","60.0000"
DS-CHX14-108,"799418019093","259.0000","259.0000"
DS-CHX14-120,"799418019109","269.0000","269.0000"
DS-CHX14-84,"799418019079","229.0000","229.0000"
DS-CHX14-96,"799418019086","249.0000","249.0000"
DS-CHX14-FB,"799418019130","60.0000","60.0000"
DS-CHX4-108,"799418019161","259.0000","259.0000"
DS-CHX4-120,"799418019178","269.0000","269.0000"
DS-CHX4-84,"799418019147","229.0000","229.0000"
DS-CHX4-96,"799418019154","249.0000","249.0000"
