SKU,Price,BASE CUSTOM PRICE
"DS-EMBS201312-84","299.0000","299.0000"
"DS-EMBS201312-96","319.0000","319.0000"
"DS-EMBS201313-108","319.0000","319.0000"
"DS-EMBS201313-120","329.0000","329.0000"
"DS-EMBS201313-84","289.0000","289.0000"
"DS-EMBS201313-96","309.0000","309.0000"
"DS-EMBS201314-108","319.0000","319.0000"
"DS-EMBS201314-120","329.0000","329.0000"
"DS-EMBS201314-84","289.0000","289.0000"
"DS-EMBS201314-96","309.0000","309.0000"
"DS-EMBS201315-108","319.0000","319.0000"
"DS-EMBS201315-120","329.0000","329.0000"
"DS-EMBS201315-84","289.0000","289.0000"
"DS-EMBS201315-96","309.0000","309.0000"
"DS-EMBS201316-108","369.0000","369.0000"
"DS-EMBS201316-120","379.0000","379.0000"
"DS-EMBS201316-84","339.0000","339.0000"
"DS-EMBS201316-96","359.0000","359.0000"
"DS-EMBS201317-108","319.0000","319.0000"
"DS-EMBS201317-120","329.0000","329.0000"
"DS-EMBS201317-84","289.0000","289.0000"
"DS-EMBS201317-96","309.0000","309.0000"
"DS-EMBS201318-108","319.0000","319.0000"
"DS-EMBS201318-120","329.0000","329.0000"
"DS-EMBS201318-84","289.0000","289.0000"
"DS-EMBS201318-96","309.0000","309.0000"
"DS-EMBS201319-108","329.0000","329.0000"
"DS-EMBS201319-120","339.0000","339.0000"
"DS-EMBS201319-84","299.0000","299.0000"
"DS-EMBS201319-96","319.0000","319.0000"
"DS-EMBS20132-108","289.0000","289.0000"
"DS-EMBS20132-120","299.0000","299.0000"
"DS-EMBS20132-84","259.0000","259.0000"
"DS-EMBS20132-96","279.0000","279.0000"
"DS-EMBS201320-108","319.0000","319.0000"
"DS-EMBS201320-120","329.0000","329.0000"
"DS-EMBS201320-84","289.0000","289.0000"
"DS-EMBS201320-96","309.0000","309.0000"
"DS-EMBS201321-108","319.0000","319.0000"
"DS-EMBS201321-120","329.0000","329.0000"
"DS-EMBS201321-84","289.0000","289.0000"
"DS-EMBS201321-96","309.0000","309.0000"
"DS-EMBS201322-108","319.0000","319.0000"
"DS-EMBS201322-120","329.0000","329.0000"
"DS-EMBS201322-84","289.0000","289.0000"
"DS-EMBS201322-96","309.0000","309.0000"
"DS-EMBS201323-108","319.0000","319.0000"
"DS-EMBS201323-120","329.0000","329.0000"
"DS-EMBS201323-84","289.0000","289.0000"
"DS-EMBS201323-96","309.0000","309.0000"
"DS-EMBS201324-108","319.0000","319.0000"
"DS-EMBS201324-96","309.0000","309.0000"
"DS-EMBS20133-108","289.0000","289.0000"
"DS-EMBS20133-120","299.0000","299.0000"
"DS-EMBS20133-84","259.0000","259.0000"
"DS-EMBS20133-96","279.0000","279.0000"
"DS-EMBS20134-108","285.0000","285.0000"
"DS-EMBS20134-120","295.0000","295.0000"
"DS-EMBS20134-84","255.0000","255.0000"
"DS-EMBS20134-96","275.0000","275.0000"
