z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord
74509,92394,8,7.5,0,0.5,31,0,,0,,Victorville,Victorville,CA,San Bernardino,0,1
74510,92395,8,7.5,0,0.5,31,0,,0,,Spring Valley Lake,Victorville,CA,San Bernardino,0,0
74511,92395,8,7.5,0,0.5,31,0,,0,,Victorville,Victorville,CA,San Bernardino,0,1
74513,92397,8,7.5,0,0.5,31,0,,0,,Wrightwood,Wrightwood,CA,San Bernardino,0,1
74514,92398,8,7.5,0,0.5,31,0,,0,,Yermo,Yermo,CA,San Bernardino,0,1
74515,92399,8,7.5,0,0.5,31,0,,0,,Oak Glen,Yucaipa,CA,San Bernardino,0,0
74519,92399,8,7.5,0,0.5,31,0,,0,,Yucaipa,Yucaipa,CA,San Bernardino,0,1
74520,92401,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74522,92402,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74524,92403,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74526,92404,8,7.5,0,0.5,31,0,,0,,Del Rosa,San Bernardino,CA,San Bernardino,0,0
74527,92404,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74529,92405,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74531,92406,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74540,92407,8,7.5,0,0.5,31,0,,0,,Arrowhead Farms,San Bernardino,CA,San Bernardino,0,0
74536,92407,8,7.5,0,0.5,31,0,,0,,Cajon Junction,San Bernardino,CA,San Bernardino,0,0
74537,92407,8,7.5,0,0.5,31,0,,0,,Devore Heights,San Bernardino,CA,San Bernardino,0,0
74539,92407,8,7.5,0,0.5,31,0,,0,,Muscoy,San Bernardino,CA,San Bernardino,0,0
74541,92407,8,7.5,0,0.5,31,0,,0,,Verdemont,San Bernardino,CA,San Bernardino,0,0
74538,92407,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74545,92408,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
74550,92410,8,7.5,0,0.5,31,0,,0,,Base Line,San Bernardino,CA,San Bernardino,0,0
74551,92410,8.25,7.5,0,0.5,31,0.25,149,0,,San Bernardino,San Bernardino,CA,San Bernardino,0,1
