83290,quantity
"PDCH-KBS2-108","83"
"PDCH-KBS2-120","158"
"PDCH-KBS2-84","200"
"PDCH-KBS2-96","131"
"PDCH-KBS3-108","253"
"PDCH-KBS3-120","134"
"PDCH-KBS3-84","152"
"PDCH-KBS3-96","239"
"PDCH-KBS5-108","205"
"PDCH-KBS5-120","73"
"PDCH-KBS5-84","156"
"PDCH-KBS5-96","164"
"PDCH-KBS6-108","82"
"PDCH-KBS6-120","69"
"PDCH-KBS6-84","79"
"PDCH-KBS6-96","134"
"PDCH-KBS7-108","128"
"PDCH-KBS7-120","24"
"PDCH-KBS7-84","46"
"PDCH-KBS7-96","0"
"PDCH-KBS8-108","284"
"PDCH-KBS8-108","304"
"PDCH-KBS8-120","68"
"PDCH-KBS8-84","122"
"PDCH-KBS8-84","154"
"PDCH-KBS8-96","291"
"PDCH-KBS8-96","317"
"PDCH-KBS9-108","174"
"PDCH-KBS9-108","182"
"PDCH-KBS9-120","109"
"PDCH-KBS9-120","83"
"PDCH-KBS9-84","111"
"PDCH-KBS9-84","93"
"PDCH-KBS9-96","112"
"PDCH-KBS9-96","174"
"PRTW-D01-108","95"
"PRTW-D01-120","39"
"PRTW-D01-84","24"
"PRTW-D01-96","57"
"PRTW-D02-108","0"
"PRTW-D02-108","99"
"PRTW-D02-120","24"
"PRTW-D02-120","60"
"PRTW-D02-84","0"
"PRTW-D02-84","57"
"PRTW-D02-96","0"
"PRTW-D02-96","83"
"PRTW-D04-108","96"
"PRTW-D04-120","42"
"PRTW-D04-84","37"
"PRTW-D04-96","95"
"PRTW-D05-108","97"
"PRTW-D05-120","56"
"PRTW-D05-84","31"
"PRTW-D05-96","100"
"PRTW-D06A-108","87"
"PRTW-D06A-120","79"
"PRTW-D06A-84","30"
"PRTW-D06A-96","102"
"PRTW-D06B-108","107"
"PRTW-D06B-120","33"
"PRTW-D06B-84","29"
"PRTW-D06B-96","104"
"PRTW-D09-108","0"
"PRTW-D09-120","0"
"PRTW-D09-84","0"
"PRTW-D09-96","0"
"PRTW-D11-108","243"
"PRTW-D11-120","93"
"PRTW-D11-84","55"
"PRTW-D11-96","244"
"PRTW-D12-108","0"
