SKU,Inventory,PRICE,DISCONTINUED,Active,Name,subsku,upc,inventory parent
"VPCH-VET1214-108","128","10.0000",,Active,"Signature Java Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1214-108","610395224945","0"
"VPCH-VET1214-120","44","20.0000",,Active,"Signature Java Double Wide Velvet Blackout Pole Pocket Curtain","VPCH-VET1214-120","610395224952","0"
"DIS-ID15-84","70","0.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-84","797734449730","0"
"DIS-ID15-96","52","15.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-96","797734449747","0"
"DIS-ID15-108","54","25.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-108","797734449754","0"
"DIS-ID15-120","26","35.0000",,Active,"Biscotti Textured Dupioni Silk Curtain","DIS-ID15-120","797734449761","0"
"DIS-ID224-84","0","0.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-84","797734449778","0"
"DIS-ID224-96","0","15.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-96","797734449785","0"
"DIS-ID224-108","0","25.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-108","797734449792","0"
"DIS-ID224-120","0","35.0000",,Active,"Black Textured Dupioni Silk Curtain","DIS-ID224-120","797734449808","0"
"CZCH-CTZ3-84","0","0.0000",,Active,"2-1 Cobblestone Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ3-84","610395221074","0"
"CZCH-CTZ3-120","0","30.0000",,Active,"2-1 Cobblestone Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ3-120","610395221104","0"
"DIS-ID7806-84","21","0.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-84","797734449976","0"
"DIS-ID7806-96","0","15.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-96","797734449983","0"
"DIS-ID7806-108","0","25.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-108","797734449990","0"
"DIS-ID7806-120","0","35.0000",,Active,"Cashmere Textured Dupioni Silk Curtain","DIS-ID7806-120","797734450002","0"
"PTSCH-11087-84","0","0.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-84","610395223429","0"
"PTSCH-11087-96","0","10.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-96","610395223436","0"
"PTSCH-11087-108","0","20.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-108","610395223443","0"
"PTSCH-11087-120","0","30.0000",,Active,"Catalina Faux Silk Taffeta Stripe Curtain","PTSCH-11087-120","610395223450","0"
"CZCH-CTZ12-84","35","0.0000",,Active,"Charcoal Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ12-84","610395220916","0"
"CZCH-CTZ12-96","68","10.0000",,Active,"Charcoal Cotenza Pole Pocket With Back-Tabs Curtain","CZCH-CTZ12-96","610395220923","0"
