ID,image,Discontinue,SKU,Name,UPC
"testtt","",,"PTCH-JTSP102-108","","610395224020"
"testtt","",,"PTCH-JTSP120-84","","610395224082"
"testtt","",,"PTCH-JTSP120-108","","610395224068"
"testtt","",,"PTCH-JTSP120-120","","610395224075"
"testtt","",,"PTCH-JTSP100-84","","610395224006"
"testtt","",,"PTCH-JTSP100-108","","610395223986"
"testtt","",,"PTCH-JTSP100-120","","610395223993"
"testtt","",,"PTCH-JTSP005-84","","610395224433"
"testtt","",,"PTCH-JTSP005-120","","610395224426"
"testtt","",,"PTCH-JTSP54-84","","610395224266"
"testtt","",,"PTCH-JTSP54-108","","610395224242"
"testtt","",,"PTCH-JTSP54-120","","610395224259"
"testtt","",,"PTCH-JTSP41-96","","610395224402"
"testtt","",,"PTCH-JTSP41-108","","610395224372"
"testtt","",,"PTCH-JTSP003-96","","610395223979"
"testtt","",,"PTCH-JTSP27-84","","610395224167"
"testtt","",,"PTCH-JTSP27-120","","610395224150"
"testtt","",,"PTCH-JTSP87-96","","610395224327"
"testtt","",,"PTCH-JTSP87-108","","610395224297"
"testtt","",,"PTCH-JTSP87-120","","610395224303"
"testtt","",,"PTCH-JTSP112-84","","610395224358"
"testtt","",,"PTCH-JTSP112-96","","610395224365"
"testtt","",,"PTCH-JTSP112-108","","610395224334"
"testtt","",,"PTCH-JTSP29-84","","610395224204"
"testtt","",,"PTCH-JTSP29-120","","610395224198"
"testtt","",,"PDCH-KBS8-84","","797734455847"
"testtt","",,"PDCH-KBS8-96","","797734455854"
"testtt","",,"PDCH-KBS8-108","","797734455861"
"testtt","",,"PDCH-KBS8-120","","797734455878"
"testtt","",,"CZCH-CTZ11-96","","610395221241"
"testtt","",,"CZCH-CTZ11-120","","610395221265"
"testtt","",,"PTSCH-11096-84","","610395223542"
"testtt","",,"PTSCH-11096-96","","610395223559"
"testtt","",,"PTSCH-11096-108","","610395223566"
"testtt","",,"PTSCH-11096-120","","610395223573"
"testtt","",,"PDCH-KBS1-84","","797734455601"
"testtt","",,"PDCH-KBS1-96","","797734455618"
"testtt","",,"PDCH-KBS1-108","","797734455625"
"testtt","",,"PDCH-KBS1-120","","797734455632"
"testtt","",,"VCCH-VET1205-84","","610395227458"
"testtt","",,"VCCH-VET1205-96","","610395227465"
"testtt","",,"VCCH-VET1205-108","","610395227472"
"testtt","",,"VCCH-VET1205-120","","610395227489"
"testtt","",,"VCCH-VET1209-84","","610395227618"
"testtt","",,"VCCH-VET1209-96","","610395227625"
"testtt","",,"VCCH-VET1209-108","","610395227632"
"testtt","",,"VCCH-VET1209-120","","610395227649"
"testtt","",,"PTCH-JTSP190912-84","","610395224129"
"testtt","",,"PTCH-JTSP190912-96","","610395224136"
"testtt","",,"VCCH-VET1206-84","","610395227496"
"testtt","",,"VCCH-VET1206-96","","610395227502"
"testtt","",,"VCCH-VET1206-108","","610395227519"
"testtt","",,"VCCH-VET1206-120","","610395227526"
"testtt","",,"PTCH-JTSP190912LAT-96","","797734458107"
"testtt","",,"VCCH-VET1204-84","","610395227410"
"testtt","",,"VCCH-VET1204-96","","610395227427"
"testtt","",,"VCCH-VET1204-108","","610395227434"
"testtt","",,"VCCH-VET1204-120","","610395227441"
"testtt","",,"PTS-12012-84","","610395222316"
"testtt","",,"PTS-12012-96","","610395222323"
"testtt","",,"PTS-12012-108","","610395222330"
"testtt","",,"PTS-12012-120","","610395222347"
